user_id,name,email,phone,street_address,city,country,transaction_id,transaction_date,amount,currency,merchant,category,transaction_type,payment_method
5f70c97a-9add-42f1-96a9-bf4c78b36af8,Irmgard Contreras,track1995@mail.com,+16037826059,375 Laidley Center,Sherman,Ecuador,c17d586d-db95-4120-bf81-7135c707c62b,2024-01-27T02:04:08.029435,315.96,USD,Martel Communication,electronics,purchase,bank_transfer
e276109c-0ae9-45ed-9ad5-926322bf9682,Seth Lowery,resistance1879@banking.org,+19510040601,566 Morris Trace,Whittier,French Polynesia,4da59c5d-aba0-4a6f-a4f2-6ab22b7be041,2024-11-03T00:38:17.286684,202.85,CAD,Platinum Interior Design,restaurants,transfer,paypal
0989908f-52ac-42fd-a736-26b377929167,Stephan Kemp,wife1942@example.com,+1-732-507-1064,355 Twin Peaks Garden,Shreveport,Angola,f326211b-81da-47fc-b46c-8419aae8f7db,2024-12-05T22:52:07.815260,314.63,AUD,Pfizer,entertainment,refund,cash
ce89cd24-0ec7-4c9c-ae22-a8981bae5f74,Deetta Riddle,foods1876@banking.org,+16157192845,488 Innes Mall,Hoboken,Serbia,b6967d8c-da9a-4312-a3ed-2f4992b4b7e9,2023-05-25T08:45:13.822478,456.27,USD,Digi-Key,electronics,withdrawal,paypal
c5d3d308-91d7-4ced-8649-3046812adce3,Trudie Stout,humor1892@mail.com,+1-646-852-9303,1172 Brotherhood Green,Urbana,Spain,8b9c01e8-00ee-40da-a6c3-eb3714f95a27,2025-04-13T03:34:44.404646,370.14,JPY,Medimix International,travel,transfer,paypal
074bd025-53d7-4637-9da5-3c9c238245da,Mickey Brennan,other2006@banking.org,+16238225852,160 Argonaut Green,Camden,Sudan,a486b29a-9bce-4928-b75c-675dbc4edbbc,2023-10-25T02:41:27.305676,81.56,USD,Dynatronics Accessories,groceries,refund,cash
3a5abad0-89df-4269-ad63-bc245e436223,Ramon Schroeder,promoting1833@banking.org,+17078533216,1236 Mission Bay Alley,Lakeland,China,84d6b7a0-512f-4a52-b680-6439996318af,2024-04-11T12:33:23.491436,312.2,EUR,Monk Home Loans,entertainment,withdrawal,cash
2d8e4c34-5d7f-41fd-a2a9-b4dec03092b5,Stevie Baxter,cardiac1835mail.com,+15015419190,1049 Balceta Mews,Loveland,Puerto Rico,7fab0924-2af1-4497-a84a-9be19308dd71,2023-12-10T08:45:21.680968,307.61,JPY,Southwest Airlines,restaurants,purchase,credit_card
808cb9b9-2199-4a35-b40b-c8b112edd1c3,Temple Deleon,thriller2056banking.org,+14193423678,1210 Church Pass,Kinston,Uzbekistan,5044d2ef-5990-4e16-ac73-ed2cacaacc1f,2023-11-15T05:54:41.909905,426.9,JPY,Simple Solutions,groceries,transfer,cash
ee62810b-a845-4319-8810-445197b596c4,Nery Curtis,restrict1895@banking.org,+1-561-349-8798,713 Rio Grove,Madera,British Indian Ocean Territory,e7e24f6a-6e60-4c46-8b06-9133160a5ba5,2025-01-07T10:16:45.567919,328.98,GBP,Cogent Communications,utilities,withdrawal,paypal
acdd4eb7-eb67-49a5-8ee2-8a51b9ac9f24,Angla Patton,excuse2007banking.org,+1-708-933-6983,889 Mccann Pine,St. Charles,Eritrea,6bc5031f-0e27-4678-9b70-ade25b4d1d82,2025-06-26T01:07:18.195603,385.39,GBP,Helping Hand,restaurants,deposit,paypal
3ca0df23-455e-430d-88fb-9812ce3c4542,Arnulfo Coleman,hot1906@example.com,+15635613823,552 Ames Mews,Centerville,Norfolk Island,0e356fd0-5a16-4504-89a4-2c6d74d40b0e,2024-08-31T09:14:39.519402,329.31,CAD,KFC,entertainment,transfer,cash
2e7c918c-fb28-4e10-a746-190eff18ed07,Ruthe Quinn,dow1971@banking.org,+16519312133,302 Reardon Spur,Golden Valley,Svalbard & Jan Mayen,99f5999d-5197-474d-b348-f94dfa892816,2023-03-11T23:47:20.386790,59.57,JPY,H-E-B,entertainment,refund,cash
cda34ab3-001b-441a-99f5-768724919ddb,King Walton,fraser1839@banking.org,+1-901-117-6643,182 Burnside Crossing,Farmington,New Caledonia,3df81b4f-1f88-45a7-aa40-3afc423a6ff3,2023-08-28T22:21:56.476465,100.96,USD,Principal Financial Group,entertainment,withdrawal,bank_transfer
0eb0a64f-c22a-425d-8c52-68b54e2653e4,Guadalupe Jackson,hired2068@mail.com,+13615830420,1303 Legion Of Honor Stravenue,Austin,Yemen,5fdf53e1-941a-41ce-b615-33c0f5fbfa95,2025-09-03T21:26:13.032271,278.38,CAD,Perisolution,restaurants,withdrawal,cash
719c9090-3560-4e43-bd0b-6baa2f5fe80e,Francesco Wallace,california1939@mail.com,+1-278-220-9759,102 Metson Cove,Honolulu,Tristan da Cunha,ed34034e-3e74-4056-bee1-57b67154e9b7,2023-09-15T04:05:48.075192,260.83,CAD,Always,travel,deposit,debit_card
22dfe00c-6262-49dc-be46-e3916c8bda5d,Ermelinda Bauer,nut1954@banking.org,+1-859-538-4542,296 Wyton Road,Baltimore,San Marino,0fe35d1b-c06f-4f87-95ee-2546c5478cbe,2023-01-09T10:41:56.627833,486.61,GBP,Corinthian Designs,clothing,refund,debit_card
